asset_code,updated_at,update_type,component_name,old_value,new_value,detail,made_by,model,source_sn
AL24010343,"2024-01-09 18:26:15",firmware,,,5.28,"FW 5.28 // บอร์ดสวิตช์ Sila",Admin,bitScan,"AL24010336 - AL24010345"
AL24010344,"2024-01-09 18:26:15",firmware,,,5.28,"FW 5.28 // บอร์ดสวิตช์ Sila",Admin,bitScan,"AL24010336 - AL24010345"
AL24010345,"2024-01-09 18:26:15",firmware,,,5.28,"FW 5.28 // บอร์ดสวิตช์ Sila",Admin,bitScan,"AL24010336 - AL24010345"
AL23120335,"2023-12-21 09:06:57",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120335 - AL23120335"
AL23120316,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120317,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120318,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120319,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120320,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120321,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120322,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120323,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120324,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120325,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120326,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120327,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120328,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120329,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120330,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120331,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120332,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120333,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
AL23120334,"2023-12-18 17:34:48",firmware,,,5.28,"FW 5.28",Admin,bitScan,"AL23120316 - AL23120334"
BS23110196,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
BS23110197,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
BS23110198,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
BS23110199,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
BS23110200,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
BS23110201,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
BS23110202,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
BS23110203,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
BS23110204,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
BS23110205,"2023-11-29 18:24:52",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor S","BS23110196 - BS23110205"
AL23110306,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
AL23110307,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
AL23110308,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
AL23110309,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
AL23110310,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
AL23110311,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
AL23110312,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
AL23110313,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
AL23110314,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
AL23110315,"2023-11-27 18:06:14",firmware,,,5.27,"FW 5.27",Admin,bitScan,"AL23110306 - AL23110315"
BM23111161,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BM23111162,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BM23111163,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BM23111164,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BM23111165,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BM23111166,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BM23111167,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BM23111168,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BM23111169,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BM23111170,"2023-11-17 09:50:32",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor M","BM23111161 - BM23111170"
BP23111425,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
BP23111426,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
BP23111427,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
BP23111428,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
BP23111429,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
BP23111430,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
BP23111431,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
BP23111432,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
BP23111433,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
BP23111434,"2023-11-09 11:04:08",hardware,,,,"เริ่มใช้เครื่องเช็คสาย HDMI (UNI-T)",Admin,"bitVisitor Plus","BP23111425 - BP23111434"
AL23110286,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110287,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110288,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110289,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110290,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110291,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110292,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110293,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110294,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110295,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110296,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110297,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110298,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110299,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110300,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110301,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110302,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110303,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110304,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
AL23110305,"2023-11-03 17:11:51",firmware,,,5.26,"FW 5.26",Admin,bitScan,"AL23110286 - AL23110305"
BS23100186,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
BS23100187,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
BS23100188,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
BS23100189,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
BS23100190,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
BS23100191,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
BS23100192,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
BS23100193,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
BS23100194,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
BS23100195,"2023-10-30 14:39:39",hardware,,,,"เปลี่ยนสายชาร์จ Printer เป็นสาย Type-C",Admin,"bitVisitor S","BS23100186 - BS23100195"
AL23100276,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
AL23100277,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
AL23100278,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
AL23100279,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
AL23100280,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
AL23100281,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
AL23100282,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
AL23100283,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
AL23100284,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
AL23100285,"2023-10-20 16:19:13",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23100276 - AL23100285"
BSF23080792,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BSF23080793,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BSF23080794,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BSF23080795,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BSF23080796,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BSF23080797,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BSF23080798,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BSF23080799,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BSF23080800,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BSF23080801,"2023-08-28 17:29:34",hardware,Pi,,,"ใช้สาย IDE 8 Pin แทนสายแพร",Admin,"bitStamp Factory Dual","BSF23080792 - BSF23080801"
BS23080156,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BS23080157,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BS23080158,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BS23080159,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BS23080160,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BS23080161,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BS23080162,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BS23080163,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BS23080164,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BS23080165,"2023-08-28 14:35:01",hardware,Pi2,,,"เริ่มใช้สายชาร์จ Printer แบบแม่เหล็ก และใช้บอร์ด Pi2",Admin,"bitVisitor S","BS23080156 - BS23080165"
BSF23080765,"2023-08-23 13:26:55",hardware,lot.ย้อนหลัง,,,"lot.ย้อนหลัง || S/N ล่าสุดเป็นของ F Dual",Admin,,"BSF23080765 - BSF23080771"
BSF23080766,"2023-08-23 13:26:55",hardware,lot.ย้อนหลัง,,,"lot.ย้อนหลัง || S/N ล่าสุดเป็นของ F Dual",Admin,,"BSF23080765 - BSF23080771"
BSF23080767,"2023-08-23 13:26:55",hardware,lot.ย้อนหลัง,,,"lot.ย้อนหลัง || S/N ล่าสุดเป็นของ F Dual",Admin,,"BSF23080765 - BSF23080771"
BSF23080768,"2023-08-23 13:26:55",hardware,lot.ย้อนหลัง,,,"lot.ย้อนหลัง || S/N ล่าสุดเป็นของ F Dual",Admin,,"BSF23080765 - BSF23080771"
BSF23080769,"2023-08-23 13:26:55",hardware,lot.ย้อนหลัง,,,"lot.ย้อนหลัง || S/N ล่าสุดเป็นของ F Dual",Admin,,"BSF23080765 - BSF23080771"
BSF23080770,"2023-08-23 13:26:55",hardware,lot.ย้อนหลัง,,,"lot.ย้อนหลัง || S/N ล่าสุดเป็นของ F Dual",Admin,,"BSF23080765 - BSF23080771"
BSF23080771,"2023-08-23 13:26:55",hardware,lot.ย้อนหลัง,,,"lot.ย้อนหลัง || S/N ล่าสุดเป็นของ F Dual",Admin,,"BSF23080765 - BSF23080771"
BP23071365,"2023-07-22 08:44:14",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor Plus","BP23071365 - BP23071372"
BP23071366,"2023-07-22 08:44:14",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor Plus","BP23071365 - BP23071372"
BP23071367,"2023-07-22 08:44:14",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor Plus","BP23071365 - BP23071372"
BP23071368,"2023-07-22 08:44:14",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor Plus","BP23071365 - BP23071372"
BP23071369,"2023-07-22 08:44:14",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor Plus","BP23071365 - BP23071372"
BP23071370,"2023-07-22 08:44:14",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor Plus","BP23071365 - BP23071372"
BP23071371,"2023-07-22 08:44:14",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor Plus","BP23071365 - BP23071372"
BP23071372,"2023-07-22 08:44:14",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor Plus","BP23071365 - BP23071372"
BM23071121,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23071122,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23071123,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23071124,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23071125,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23071126,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23071127,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23071128,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23071129,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23071130,"2023-07-12 09:50:03",hardware,,,,"พ่นเคลือบ acrylic ตรงสายแพของจอ",Admin,"bitVisitor M","BM23071121 - BM23071130"
BM23061111,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BM23061112,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BM23061113,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BM23061114,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BM23061115,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BM23061116,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BM23061117,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BM23061118,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BM23061119,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BM23061120,"2023-06-28 16:20:15",firmware,,,40P,"เริ่มใช้ EXP แบบ IDC40P",Admin,"bitVisitor M","BM23061111 - BM23061120"
BP23061355,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
BP23061356,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
BP23061357,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
BP23061358,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
BP23061359,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
BP23061360,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
BP23061361,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
BP23061362,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
BP23061363,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
BP23061364,"2023-06-15 15:04:13",firmware,,,,"เริ่มใช้ EXP IDE + HUB บอร์ดทอง",Admin,"bitVisitor Plus","BP23061355 - BP23061364"
AL23040155,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23040156,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23040157,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23040158,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23040159,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23040160,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23040161,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23040162,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23040163,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23040164,"2023-04-20 08:44:03",firmware,,,5.25,"FW 5.25",Admin,bitScan,"AL23040155 - AL23040164"
AL23030135,"2023-03-20 10:03:25",firmware,,,5.23,"FW 5.23",Admin,bitScan,"AL23030135 - AL23030154"
AL23030136,"2023-03-20 10:03:25",firmware,,,5.23,"FW 5.23",Admin,bitScan,"AL23030135 - AL23030154"
AL23030137,"2023-03-20 10:03:25",firmware,,,5.23,"FW 5.23",Admin,bitScan,"AL23030135 - AL23030154"
